title,cluster_label
The CDC blatantly violates a Trump order regarding Critical Race Theory,39
OMB Director Russell Vought On The Decision To Defund The  Problematic and Un - American  Critical Race Theory In Federal Agencies,96
OMB Director Russell Vought On Defunding Critical Race Theory In Federal Agencies,96
"CDC reportedly defying Trump EO , moving ahead with  critical race theory  training sessions",96
CDC Critical Race Theory Training Violating Trump Ban Canceled After Whistle Blown,42
CRT Energy Assistance Program | News Radio 1410 AM & 100 . 9 FM,58
CRT Energy Assistance Program | Country 92 - 5,58
CRT Energy Assistance Program | The River 105 . 9,58
White House Cancels CDC Critical Race Theory Training Program,16
Trump admin shuts down CDC training that purportedly flouted executive order on critical race theory,16
"Unsubscribing , Solidarity Statements , Critical Race Theory , And The Enervation Of One Quadruple - Minority Professor",16
CRT Energy Assistance Program,58
CDC Defies Trump Ban on Critical Race Theory Training,42
White House cancels CDC  critical race theory  training after Trump banned it as  divisive  -- Puppet Masters -- Sott . net,42
"Thomas Gallatin : Marxist CRT Infecting Entire Govt , Thanks to Obama The Patriot Post",57
Pull up a chair and let John MacArthur perfectly summarize the cancer of Critical Race Theory for you -- Society Child -- Sott . net,77
Critical Race Theory Indoctrination in Our Schools,7
What Is Critical Race Theory and Why Is Trump Afraid of It ? ,39
UC law deans refute federal government criticism of Critical Race Theory,96
Trump crack down on  critical race theory  training leads to cancelation of Justice Department  unconscious bia program,16
Critical Race Theory Indoctrination in Our Schools - American Renaissance,7
"Trump takes aim at cancel culture , calls 1619 Project and Critical - Race Theory  ideological poison  ",93
Seditious CDC moves forward with  critical race theory  instruction blaming white people for racism despite Trump order to shut it down – NaturalNews . com,19
"Trump Takes Aim at Critical Race Theory , Proposes  Patriotic Education  Commission",59
Christopher Rufo on Critical Race Theory and the Trump Admin Recent Ban,13
Constitution Day : Trump Announces  1776 Commission  to Fight CRT Propaganda,57
Seditious CDC moves forward with  critical race theory  instruction blaming white people for racism despite Trump order to shut it down,19
"President Trump Ban On Critical Race Theory , Explained",44
"4 Key Moments From Trump Speech on History , Critical Race Theory",93
The man behind Trump campaign against  critical race theory  ,0
Critical Race Theory in American Classrooms,11
"  It will destroy our country : Trump targets school curriculums teaching  Marxist doctrines , critical race theory",61
"FNC Carlson : Well Look Back on Incorporating BLM , 1619 Project , Critical Race Theory in Schools in  Shame and Horror  ",11
Here why Trump and his supporters are so threatened by  critical race theory  ,39
"Trump takes on 1619 Project , critical race theory . ",93
Quotation of the day on the  1619 Project  and  critical race theory …. | American Enterprise Institute,18
"RIGHT SPEAK : President Trump Takes Aim at Cancel Culture , Calls 1619 Project and Critical - Race Theory  ideological poison ; Announces EO Establishing  1776 Commission  To Combat  1619 Project , and other related stories",93
Trump crackdown on  critical race theory  training leads to cancellation of Justice Department  unconscious bia program,16
Swarthmore College student paper : Mandate critical race theory for graduation,16
"Trump ban on Critical Race Theory , explained » MercatorNet",44
10 most extreme  Critical Race Theory  classes & trainings at US colleges,11
"What is critical race theory , President Trump latest political target ? ",90
The Orwellian Indoctrination of Kindergarteners With Critical Race Theory Is Outrageous and Must Be Stopped,7
The new religion of critical race theory,0
The 10 Most Extreme  Critical Race Theory  Classes & Trainings At US Colleges,11
Trump signs executive order barring critical - race theory training by federal contractors,54
Good : President Trump executive order abolishing critical race theory has the potential  to cripple hundreds of academic projects  ,42
Trump Signs Order to Combat Critical Race Theory Training by Federal Contractors,16
Trump vs . Critical Race Theory | Frontpagemag,93
Reuters editor calls White House order banning government training on critical race theory  bananas  ,42
"Trump strikes a second , massive blow against Critical Race theory",56
"Trump strikes a second , massive blow against Critical Race theory By Andrea Widburg",0
"Just Like Freud Psychoanalysis , Critical Race Theory Will Be Discredited",39
Trump expands ban on critical race theory to federal contractors,54
Trump Extends Ban on Critical Race Theory to Federal Contractors,54
Thomas Gallatin :  Critical Race  Training Banned for Fed Contractors The Patriot Post,57
"Weve Seen This Movie Before : Just Like Freud Psychoanalysis , Critical Race Theory Will Ultimately Collapse",39
Pres . Trump Executive Order Banning Critical Race Theory Doctrine Will Rock Universities Across the Country,42
Trump Directive on Critical Race Theory Affirms Martin Luther King Jr . Vision,78
"Trump Strikes a Second , Massive Blow Against Critical Race Theory",56
Trump Bans Companies That Use  Critical Race Theory  From Getting Govt . Contracts,44
Trump Expands Fight Against Critical Race Theory to Federal Contractors,56
 # DELETED : Critical Race Theory Dominates Big Tech,39
The unbiblical theory of critical race,0
Trump Strikes A Second Major Blow Against  Critical Race Theory  ,0
"Trump Exec Order on  A New Nation , Unique Among Countries of the World  vs . Critical Race Theory",0
"Critical race theory and Trump executive order on diversity training , explained",16
Donald Trump Says Critical Race Theory is  Like a Cancer  ,39
Legal Theory Blog : Savage on the Religion of Race & the Supreme Court,96
Critical Race Theory Activists Destroying STEM High School,11
White Pill at the Right Time : Trump Expands Ban on Anti - White Critical Race Theory to Federal Contractors ( As Well as Executive Branch Agencies ) | Blog Posts,54
"THE REGULARS : Troubling critical race theory surfaces in education , government",59
"CRT official discusses new Census deadline , response from AG Tong",28
Maher : Truth Has to Be  in the Middle  Between Critical Race Theory Saying  Racism Is Everything and Everywhere  and Denying Racism,19
What Republicans Must Do To Get Critical Race Theory Out Of Schools,61
Critical Race Theory Is Divisive And Discriminatory,0
Graduate Studies announces 2020 - 2021 Critical Race Scholars,96
Critical Race Theory and the Decline of American Justice,0
Critical Race Theory Could Lead Humanity To Annihilation,0
Loudoun County Schools Spend Hundreds of Thousands on Critical Race Theory,29
The war on critical race theory indoctrination is worth winning -- Society Child -- Sott . net,59
Critical Race Theory Is A Classic Communist Divide - And - Conquer Tactic,68
Critical Race Theory Is a Poisonous Communist Tactic,68
"Chris Wallace redefines  critical race theory  calls it  racial sensitivity training , instead",39
Q & A of the Day – Is Critical Race Theory being taught in Florida Schools ? ,55
Trump Administration Ends  Critical Race Theory  Trainings in Move Backed by Heritage Scholars,16
Q & A – Is Critical Race Theory Being Taught In Florida Schools ? ,29
Experts debate how Trump order restricting critical race theory funding will affect higher education,16
Critical race theory infiltrated California schools,11
"Fairfax , Va . School District Spent $24 , 000 On Promoting Critical Race Theorist Ibram Kendi Books For U . S . History Classes",29
Understanding critical race theory : What it is -- and isnt,90
Virginia school district proposal would penalize teachers who criticize critical race theory,7
"Tucker Blasts Biden : Critical Race Theory Is  Racial Supremacy , Not  Sensitivity  ",89
Shakespeare spoof brings actors back to Palm Coast stage at CRT,31
Bokhari : Critical Race Theorists Control the Big Tech Algorithms that Control Us,0
"Flashcards for critical race theory , easy , quick learning",0
The truth about critical race theory -- Society Child -- Sott . net,77
"Critical Race Theory , and the Poisoning of Society",0
Neo - Marxist  Critical Race Theory  Stokes Toxic Division,68
"No , Critical Race Theory Isnt  Anti - American  ",39
The Truth About Critical Race Theory,0
Trump Calls Critical Race Theory  Un - American . Let Review | History News Network,93
The Truth About Critical Race Theory - American Renaissance,0
Keller  dead wrong  on Critical Race Theory : critics,19
"Pete Flores , Roland Gutierrez square off in critical District 19 Texas Senate race",33
D . C .- area school district backtracks on punishing teachers for criticizing critical race theory,2
  Men On Boat by CRT - A Review,31
"Math Association Say Math  Inherently Carries Human Biases , Citing Critical Race Theory",39
Mathematical Association : Critical Race Theory Necessary to Fight  Human Biase in Math,0
The intrusion of critical race theory into medicine and public health threatens the well - being of all Americans --- especially nonwhites,19
More Va . Schools Using Kids As Guinea Pigs For Critical Race Theory,11
The Civil Rights Legend Who Opposed Critical Race Theory,0
Jarret Stepman : What Really Behind Critical Race Theory,0
The civil rights legend who opposed critical race theory -- Society Child -- Sott . net,77
"Yes , Critical Race Theory Is Actually Making People More Racist",39
"Kemi Badenoch , British Equalities Minister , denounces Black Lives Matter and Critical Race Theory",18
UK Minister : Teaching White Privilege And Critical Race Theory In Schools Is Illegal,2
Critical Race Theory Permeates New Student Survey In Fairfax Public Schools,11
UK Minister Torches BLM & Critical Race Theory In Now Viral Speech | NewsRadio 740 KTRH,93
"Democrat Colin Allred , Republican Genevieve Collins tout bipartisanship in critical District 32 race for Congress",53
Carol Swain Tells Nashville Crowd That Critical Race Theory Is Unacceptable,4
Trump blasts  critical race theory  but is America most dangerous critical theorist,39
Critical race theory as a covert assailant to the church,76
Trump and Critical Race Theory – JAMES EDWARDS,0
There a Federalized E90 BMW M3 CRT for Sale in the U . S . ,3
"Swing state : Michigan voters critical to presidential , US Senate race outcomes",22
"1 Of 67 BMW M3 CRT Is For Sale In New York After Owner Spent $40 , 000 To Federalize It In The united states ",21
"Baptist Seminary head downplays risk of socialism , Critical Race Theory & Intersectionality",68
Trump Is Attacking Critical Race Theory Because It Is a Force for Liberation,39
Critical race theory comes to church and my children Catholic schools – Catholic World Report,76
"Higher education groups ask Biden to reverse Trump orders on Title IX reform , critical race theory",89
Brave British Politician Stands Against Critical Race Theory,0
"Critical Race Theory : Fighting Racism , or Racism Masquerading as Remedy ? – Ricochet",68
Brave British Politician Stands Against Critical Race Theory | PowerTalk 1460 AM & 101 . 1 FM,0
Meeting the moment : 20 years of Critical Race Studies at UCLA School of Law,96
Critical Race Theory : A Ruling - Class Ideology,68
John Piper : Christians Critical Race Theory makes god of self,76
"  Woke  Kentucky mayor is slammed for trying to pull $120 , 000 from an emergency rental fund to pay for  critical race theory  training for city employees",75
"Critical race theory creates  rage , Georgetown professor warns",39
Kentucky Mayor Trying to Move Emergency Aid Funds to CRT Training,1
"Kentucky Mayor Is Slammed for Trying to Pull $120 , 000 from an Emergency Rental Fund to Pay for  Critical Race Theory  Training",75
Southern Baptist seminary presidents nix critical race theory,0
"Quotation of the day on wokeness , structural racism , and critical race theory …. | American Enterprise Institute",18
This is your BRAIN on critical race theory – > Headline from The Root about straight black men is straight - up racist AF – twitchy . com,19
Baptist seminary presidents reject Critical Race Theory,42
All Six Southern Baptist Seminary Presidents Have Released a Joint Statement Condemning Critical Race Theory,42
SBC seminary presidents denounce Critical Race Theory,42
"With Biden , Critical Race Theory may return to the White House",66
Southern Baptists Keep Quarreling Over Critical Race Theor ...... | News & Reporting,76
"Japan Cardiac Rhythm Management Devices Market Outlook to 2025 - Cardiac Resynchronisation Therapy ( CRT ), Implantable Cardioverter Defibrillators ( ICD ), Implantable Loop Recorders ( ILR ) and Pacemakers",80
"Russia Cardiac Rhythm Management Devices Market Outlook to 2025 - Cardiac Resynchronisation Therapy ( CRT ), Implantable Cardioverter Defibrillators ( ICD ), Implantable Loop Recorders ( ILR ) and Pacemakers",80
"Spain Cardiac Rhythm Management Devices Market Outlook to 2025 - Cardiac Resynchronisation Therapy ( CRT ), Implantable Cardioverter Defibrillators ( ICD ), Implantable Loop Recorders ( ILR ) and Pacemakers",80
SBC statement on CRT branded  anti - intellectual  ,31
Feeling Guilty About Everything ? Thank Critical Race Theory,19
"Critical Race Theory , the Culprit Behind the  Summer of Hate  ",0
"Divisive  critical race theory  infiltrating private biz and public schools , has Marxist roots : report",11
Parents advised to organize against CRT curricula now,73
Douglas Andrews : The Virus of Critical Race Theory The Patriot Post,0
PODCAST : 12 . 10 – Teaching Critical Race Theory in Public Schools,7
Critical Race Theory : As  Pseudo  as Pseudoscience Gets By Allen Gindler,39
Critical Race Theory : As  Pseudo  as Pseudoscience Gets,90
Black Southern Baptists weigh in on critical race theory critique by officials,76
Critical Race Theory is unbiblical say SBC seminary presidents – Episcopal Cafe,0
CRT saves man life after he has OD in their lobby,31
Critical Race Theory Just Locked Down Another Contract in Virginia Public Schools,42
SBC seminary presidents spur debate after denouncing critical race theory,42
Dems Say Trump  Critical Race Theory  Ban Ended Most Federal Diversity Training,42
OMB Director Russ Vought on Bolstering the U . S . Navy and Defunding Critical Race Theory Trainings,89
"Ralph D . West , Houston pastor , cuts ties to Southern Baptists over critical race theory rejection",76
VIRTUAL EVENT : The New Intolerance : Critical Race Theory and Its Grip on America,93
Critical Race Theory Does Not Stay on College Campuses,29
"SBC wants to scrap CRT resolution , Dwight McKissic says",31
  We out : Charlie Dates on why his church is leaving the SBC over rejection of critical race theory,19
Two Prominent Pastors Break With SBC After Critical Race T ...... | News & Reporting,62
Maintaining and expanding the ban on critical race theory -- Society Child -- Sott . net,2
Texas megachurch pastor cuts ties with SBC over CRT,34
Feeling guilty about everything ? Thank critical race theory,19
Only a Critical Race Theorist Could Be so Racist,39
"Continuing saga : SBC leaders , seminary heads at odds on CRT",9
Marxist  Critical Race Theory  seeps into U . S . courts,68
"Fred Luter , JD Greear speak out on dispute over CRT",31
Marxist  Critical Race Theory  Seeps Into U . S . Courts | The Heritage Foundation,68
"Biden picks  social justice  architect for education secretary , ahead of expectations of Trump  critical race theory  ban reversal -- Puppet Masters -- Sott . net",89
Racist Sharpton Claims the  White Church  Is  Sinning  for Not Teaching Critical Race Theory,76
"Luter , Greear latest Southern Baptist leaders to weigh in as turmoil over race theory grows",76
RIGHT SPEAK : Future Biden Education Secretary Oversaw Creation of Critical Theory Class for High Schoolers ; Marxist  Critical Race Theory  Seeps Into U . S . Courts,89
Black pastor leaves Southern Baptists over critical race theory,76
Hans von Spakovsky : Marxist  Critical Race Theory  Seeps Into U . S . Courts The Patriot Post,68
Critical race theory : a ruling - class ideology,68
First Experience With Completely Leadless CRT,58
The SBC critical race theory debacle,0
Legal Theory Blog : Fox on Race and Assisted Reproduction,96
GSE CRT portfolios mark month - over - month improvement in delinquencies,21
Critical race theory : Why Republicans want to criminalize teaching,61
Critical race theory school battles are deepening the red - blue divide,11
What is critical race theory ? Here everything you need to know,90
Black History Month : Phony critical race theory fears thwart teaching of total U . S . history,59
Bill banning critical race theory in schools dies in New Mexico Legislative session,42
Critical race theory : The narrative winning local elections for conservatives,56
Conservatives leverage CRT to seize momentum in 2022 local elections,88
University of Virginia paid CRT proponent Ibram Kendi more than $500 per minute for lecture : report,32
Teacher Anti - CRT Bills Coast To Coast : A State By State Guide,95
Texas professor blasts  activist  faculty over pro - CRT resolution :  Social justice indoctrination camp  ,52
Hispanic Texas land commissioner candidate vows to defund schools teaching CRT,15
Gov . DeSantis BANS  Critical Race Theory  from being taught in Florida schools ; makes bold announcement,48
Scholars warn of dangers of critical race theory - The Christian Post,76
critical race theory | What Did You Say ? ,0
"Scholars warn of dangers of critical race theory , how it being injected into students",7
"Live updates : Polls close on the east coast , race calls , details on critical Senate races across country",22
Jelani Cobb on Derrick Bell : The Man Behind Critical Race Theory | History News Network,71
"APS approves petition about social studies standard , addresses CRT",6
Critical race theory is simply a way to learn about the past,90
Chandler Unified Offers Woke And CRT - Based Books To Students Ages 6 And Up,40
"What is critical race theory , and could it be taught in PA schools ? ",11
Trying to understand fear of critical race theory and diversity programs,39
Critical race theory is a GOP bogeyman - New Mexico In Depth,56
"College Orientations Indoctrinate Students in Critical Race Theory , Says Free Speech Group",7
"William Jacobson , law professor , creates online database targeting  critical race training  schools",75
"Critical race theory exposed in detail in new documentary ,  Whose Children Are They ? ",77
Critical race theory slithers down in the weeds,0
New Mexico lawmakers discuss critical race theory,49
New Mexican express concerns over critical race theory in schools,11
"Federal taxpayers fund critical race theory program that pays students $5 , 000 to receive training in CRT",32
Federal taxpayers pay millions to fund critical race theory program that funds students to promote CRT,32
Federal taxpayers pay millions to fund critical race theory program that trains students to promote CRT,32
Conservatives are fighting educational reforms with a war cry :  It CRT ! ,46
Dow wants to ban critical race theory in schools,42
The battle over critical race theory reaches New Mexico,92
"2022 Session - Ep . 2 , Critical Race Theory goes New Mexican",71
Why Virginia governor tip line is sparking new critical race theory concerns in schools,22
Here where critical race theory stands in classrooms and training across the country,7
Critical race theory in the U . S . ,0
Attempts to ban  critical race theory  multiply at statehouses across the U . S . | Southern Idaho Education,85
Attempts to ban  critical race theory  multiply at statehouses across the U . S . | News,44
Attempts to ban  critical race theory  multiply at statehouses across the U . S . | National News,44
Attempts to ban teaching on  critical race theory  multiply across the U . S . ,7
"Critical race theory curriculum in K - 12 schools is going  horribly wrong , teachers say",29
KK Helps Spill The Tea On Lee Summit Critical Race Theory Crisis,78
Missouri demand on critical race theory prompts $170K bill,23
"Lawmaker wants a Missouri school district to turn over any records referring to  critical race theory ; the district wants a deposit of $170 , 000 | Politics",75
Records Request On Critical Race Theory Prompts $170K Bill,23
NC school board approves harsh repercussions for CRT teaching,63
"Letters for October 10 : On gun violence , CRT and horse slaughter",57
Rockwood parents organize to support school board in battle over critical race theory,99
Reviewing SPS servers for CRT is a costly action for a non - issue,31
GOP Anti - CRT Hysteria Leads To Requiring Teachers To Find  Balance  On The Holocaust,52
Alabama state school board member says protesters may be  terrorist amid critical race theory debate,12
Sleepy school board races are waking up to Covid and critical race theory debates,12
Covid and critical race theory : Sleepy school board races are waking up,12
Critical race theory battle invades school boards with help from conservative groups,12
"Ohio School Boards Association quits national group as passions rise over critical race theory , masks and vaccines at local meetings",72
Your Opinion : LTE wrong on CRT,31
Local organizations to hold seminar on critical race theory,92
Is a Virginia county critical race theory and equity fight at the heart of the 2022 elections ? ,22
It not just Virginia . Education and critical race theory are on the ballot across the US in 2022 . ,22
Discussion on Critical Race Theory aims to inform Columbia community,39
Missouri AG Schmitt to Newsmax : Lawsuit Seeks Answers on Critical Race Theory Plan,96
"As Parents Protest Critical Race Theory , Students Fight Racist Behavior at School",99
"Texas abortion law spurs copycat measures , from guns in California to critical race theory in Florida",20
No Critical Race Theory in Schools ? Here the Abundant Evidence Saying Otherwise,11
No Critical Race Theory in Schools ? Here the Abundant Evidence Saying Otherwise By John Murawski,11
Zinn Project Urges Teachers to Defy Laws Banning Critical Race Theory,2
What I discovered about critical race theory in public schools and why it shouldnt be taught,7
Cori Bush : Those Claiming  Black People Have Full Freedom  Reject CRT,45
What I discovered about Critical Race Theory in public schools and why it shouldnt be taught,7
The Fightback Against Critical Race Theory,0
"Mid - Missouri school boards take up critical race theory , The 1619 Project",60
The critical race theory fight is leading to educator  brain drain  ,7
Report : CRT wars are taking toll on lefty administrators,34
Death Threats and Fights Over Critical Race Theory Have Driven at Least Six Educators to Resign,83
Legal groups issue dueling letters to school districts over critical race theory,75
Legal groups issue dueling letters to Wisconsin school districts over critical race theory,75
Show - Me Threats Against Teachers Amid CRT Curriculum,15
The perversion of critical race theory,0
State legislators hear from opponents of critical race theory in schools,60
Missouri polling schools on whether they teach critical race theory,29
Missouri lawmakers press state for evidence of critical race theory in schools,60
Missouri School District Spends $15K on Critical Race Theory Audit,75
Missouri reps eye shield vs . critical race theory ; it not in local schools,60
Capitol Fax . com - Your Illinois News Radar » ILGOP rebuked for fundraising off of CRT scares,21
"Missouri Teachers , CRT Advocate Plotted to Hide Social Justice Curriculum from  Trump Country  Parents",46
MO Teachers Plotted With CRT Advocate To Hide Radical Teaching – PJ Media,46
Nick Reed PODCAST : 07 . 23 – CRT Popping Up In More MO Schools,35
Your view : Critical race theory hearing insulting,19
"Teachers , CRT Advocate Discuss How To Sneak Teaching About  White Privilege  Past  Trump Country  Parents",50
Kansas City only Missouri school district reporting it teaches critical race theory,60
Critical race theory opponents urge Springfield parents to fight back,47
Republican obsession over critical race theory is harming Black students,61
Vicki Hartzler Condemns Critical Race Theory on Fox News,93
"Letters for September 5 : CRT , COVID precautions and more",38
Nikole Hannah - Jones Says Her Privately Funded School Program Wont Teach Critical Race Theory,29
News - Finding a Remedy for the CRT Pandemic | Heartland Institute,31
Catherine Rhoades : Critics of critical race theory try to turn it into something it is not,71
Gov . Greg Abbott signs tougher anti - critical race theory law,20
Governor signs tougher anti - critical race theory law,49
Critical race theory - related ideas found in mandatory programs at 58 of top 100 US medical schools : report,11
Legal Theory Blog : Balkin on Race & Constitutional Time,96
"Parents too afraid to oppose CRT in schools , says activist",73
Critical Race Theory Is Divisive : Researcher,0
Here The First State To Introduce Bill Banning Marxist Critical Race Theory From Public Schools : US : Christianity Daily,42
Critical Race Theory -- Idaho Passes Law Banning  Indoctrination  at Public Schools,85
States Should Follow West Virginia Lead in Trying to Ban Critical Race Theory From Schools,42
Republican States Push Back Against Critical Race Theory,56
Woke war : How social justice and CRT became heresy for evangelicals,9
Hate Critical Race Theory ? Guess what : Youre funding it,39
Kansas City Loses Friends & Alienates Family & Neighbors Thanks To CRT Debate,27
"Where SPS candidates stand on critical race theory , efforts to ban it",44
State laws targeting critical race theory may stifle the full telling of American history,8
State laws targeting critical race theory hurt history education,42
Eleven States Looking To Ban Anti - Bible Critical Race Theory In Schools,42
John Micek : Fight over critical race theory hits statehouses,71
Exposing the Motive for the Sudden Wave of Attacks on Schools That Teach Critical Race Theory,2
Poway parents rally against teaching Critical Race Theory in schools - ,99
Fight over critical race theory hits the statehouse,56
What is critical race theory ? Why is it controversial in education ? ,7
"Diversity , identity and history : The Aiken County community speaks up about critical race theory",92
"Diversity , identity and history : Officials , residents weigh in on critical race theory",92
"Diversity , identity and history : Aiken County officials , residents weigh in on critical race theory",92
Micek : Fight over critical race theory hits the statehouse,71
"  Are Our Kids Half - Oppressor , Half - Victim ?: Interracial Couple Condemn Critical Race Theory at Suburban Chicago School District",99
Florida Bans Critical Race Theory In State School Curriculum,55
School Board Member Screams at Parents Opposing CRT – PJ Media,73
Axing Critical Race Theory Allows For Teaching Honest History Like Tulsa,59
Axing Critical Race Theory Allows For Teaching Honest History About The Tulsa Violence 100 Years Ago,59
Critical Race Theory : These states are already cracking down on the controversial concept,0
Parents say they are kept in the dark about school use of critical race theory,99
Tucker praises black mom for fighting school critical race theory,77
Why are states lining up to ban critical race theory ? ,44
GOP Lawmakers Intensify Effort to Ban Critical Race Theory in Schools,42
  Laws in search of problems that dont exist : Republicans try to ban critical race theory in colleges,61
GOP lawmakers intensify effort to ban critical race theory in schools,42
Critical race theory invades school boards with help from conservative groups,12
  Held hostage : How critical race theory moved from Fox News to school boards,93
How conservative groups injected fear of critical race theory into school board battles,12
Texas becomes latest state to ban critical race theory,20
"High School Student Exposes Mental Impact of CRT :  Teachings Made Me Feel Like Horse S ** t , Like Worthless Scum Undeserving of Living  ",1
