title,gpt_label
Kansas City Loses Friends & Alienates Family & Neighbors Thanks To CRT Debate,<ANTI-CRT>
"Where SPS candidates stand on critical race theory , efforts to ban it",<NEUTRAL>
State laws targeting critical race theory may stifle the full telling of American history,<DEFENDING CRT>
State laws targeting critical race theory hurt history education,<DEFENDING CRT>
Eleven States Looking To Ban Anti - Bible Critical Race Theory In Schools,<ANTI-CRT>
John Micek : Fight over critical race theory hits statehouses,<NEUTRAL>
Exposing the Motive for the Sudden Wave of Attacks on Schools That Teach Critical Race Theory,<DEFENDING CRT>
Poway parents rally against teaching Critical Race Theory in schools - ,<ANTI-CRT>
Fight over critical race theory hits the statehouse,<NEUTRAL>
What is critical race theory ? Why is it controversial in education ? ,<NEUTRAL>
"Diversity , identity and history : The Aiken County community speaks up about critical race theory",<NEUTRAL>
"Diversity , identity and history : Officials , residents weigh in on critical race theory",<NEUTRAL>
"Diversity , identity and history : Aiken County officials , residents weigh in on critical race theory",<NEUTRAL>
Micek : Fight over critical race theory hits the statehouse,<NEUTRAL>
"  Are Our Kids Half - Oppressor , Half - Victim ?: Interracial Couple Condemn Critical Race Theory at Suburban Chicago School District",<ANTI-CRT>
Florida Bans Critical Race Theory In State School Curriculum,<NEUTRAL>
School Board Member Screams at Parents Opposing CRT – PJ Media,<ANTI-CRT>
Axing Critical Race Theory Allows For Teaching Honest History Like Tulsa,<ANTI-CRT>
Axing Critical Race Theory Allows For Teaching Honest History About The Tulsa Violence 100 Years Ago,<ANTI-CRT>
Critical Race Theory : These states are already cracking down on the controversial concept,<ANTI-CRT>
Parents say they are kept in the dark about school use of critical race theory,<ANTI-CRT>
Tucker praises black mom for fighting school critical race theory,<ANTI-CRT>
Why are states lining up to ban critical race theory ? ,<NEUTRAL>
GOP Lawmakers Intensify Effort to Ban Critical Race Theory in Schools,<ANTI-CRT>
  Laws in search of problems that dont exist : Republicans try to ban critical race theory in colleges,<DEFENDING CRT>
GOP lawmakers intensify effort to ban critical race theory in schools,<NEUTRAL>
Critical race theory invades school boards with help from conservative groups,<ANTI-CRT>
  Held hostage : How critical race theory moved from Fox News to school boards,<DEFENDING CRT>
How conservative groups injected fear of critical race theory into school board battles,<DEFENDING CRT>
Texas becomes latest state to ban critical race theory,<NEUTRAL>
"High School Student Exposes Mental Impact of CRT :  Teachings Made Me Feel Like Horse S ** t , Like Worthless Scum Undeserving of Living  ",<ANTI-CRT>
These States Are Now Cracking Down on Critical Race Theory,<ANTI-CRT>
"The Backlash to Critical Race Theory Is on The Way Sumantra Maitra , ",<ANTI-CRT>
Group with Marxist ties behind critical race theory push in schools,<ANTI-CRT>
What The  Critical Race Theory  Uproar Really About ? Making Enemies For 2022,<ANTI-CRT>
Leaders offer critical look at race theory,<NEUTRAL>
Column : Southern Baptist turmoil over critical race theory,<NEUTRAL>
"  Critical Race Theory Exposed  Event Coming To The Lake , June 29 - 30",<ANTI-CRT>
Texas teacher calls for colleagues to break the law to teach CRT :  In the past weve been activists ... ,<DEFENDING CRT>
Teacher slammed for TikTok rant about breaking law to teach critical race theory :  Teach your cats  ,<ANTI-CRT>
State senator brings up critical race theory during special session on Medicaid tax,<NEUTRAL>
Defenders of Critical Race Theory Are Dishonest Lying Liars Who Want to Deceive America,<ANTI-CRT>
Parents Arent Falling for the Left Critical Race Theory Coverup,<ANTI-CRT>
Joy Reid Takes Anti - CRT Pundit To Task After He Said She Didnt Have The  Courage  To Bring Him On Her Show - Blavity,<DEFENDING CRT>
Mark Ballard : Politicians are debating critical race theory . LSU new president studies it . ,<NEUTRAL>
Newt Gingrich : Critical race theory spreading – but parents pushing back and here how conservatives can help,<ANTI-CRT>
PERSPECTIVE : Parents against critical race theory,<ANTI-CRT>
Clarence Page : Southern Baptists wade into critical race theory pool,<NEUTRAL>
Fact check : What is critical race theory ? :: WRAL . com,<NEUTRAL>
Josh Hawley Takes On CRT in a Fight for the Nation  Soul  ,<ANTI-CRT>
Opinion | The Maddening Critical Race Theory Debate,<NEUTRAL>
Michelle Goldberg : The maddening critical race theory debate,<NEUTRAL>
Teaching Critical Race Theory in schools raises controversy,<NEUTRAL>
Attacks on critical race theory are a threat to American democracy ( opinion ) ,<DEFENDING CRT>
Letter : The real truth of Critical Race Theory,<ANTI-CRT>
Anti - Critical Race Theory Activists Are Drowning Out Black Parents Fighting School Racism,<DEFENDING CRT>
Parental movement for teachers to wear body cams like cops in anti - CRT push gains traction,<ANTI-CRT>
"Yes , Virginia , CRT is being taught in our schools",<DEFENDING CRT>
Missouri CRT panel hears testimony supporting school equity efforts,<DEFENDING CRT>
Witnesses advocate for critical race theory to be taught in schools at Monday hearing,<DEFENDING CRT>
Show - Me Testimony : Only Kansas City Supports Critical Race Theory,<ANTI-CRT>
"Advocates Urge Lawmakers To Focus On Inequity In Education , Not Critical Race Theory",<DEFENDING CRT>
Bring It ! Missouri Teachers File Major Lawsuit Against Critical Race Curriculum,<ANTI-CRT>
Writer tells parents to  heed this warning  about critical race theory – St . Louis Call Newspapers,<ANTI-CRT>
Thousands of teachers to protest countrywide over anti - critical race theory legislation,<DEFENDING CRT>
Megan Monaghan Rivas to Lead CRT,<NEUTRAL>
Critical race theory teach bans killed or stalled in many states,<DEFENDING CRT>
"White Missouri mom goes on long rant against critical race theory at school meeting , says  Im not racist  ",<ANTI-CRT>
Tuesday : Rockwood Controversy Spurs GOP Push To Ban Critical Race Theory In Schools,<ANTI-CRT>
Rockwood Controversy Spurs GOP Push To Ban Critical Race Theory In Schools,<ANTI-CRT>
Why critical race theory is causing a stir in schools across US,<NEUTRAL>
Bill banning critical race theory in public schools becomes law,<NEUTRAL>
Critical race theory has become a flashpoint in school board races . What is it ? ,<NEUTRAL>
MSNBC Joy Reid mocks parents who say opposing critical race theory doesnt make them racist :  It does  ,<DEFENDING CRT>
"Bucking Biden push for  equity , US states are outlawing critical race theory in schools and public agencies -- Puppet Masters -- Sott . net",<ANTI-CRT>
Idaho governor signs bill to ban critical race theory from being taught in schools,<NEUTRAL>
Efforts to Ban Critical Race Theory in Schools Meet Rocky Reception,<NEUTRAL>
Texas Could Ban Critical Race Theory Next As Several States Look to Follow Idaho,<NEUTRAL>
Suffer the children : Critical race theory in the classroom,<ANTI-CRT>
"Critical Race Theory Seeks To Tell  A More Accurate Story , Supporters Say",<DEFENDING CRT>
Teaching kids to hate America ? Republicans want  critical race theory  out of schools,<ANTI-CRT>
AG Rokita wants Biden administration to dump proposals to teach critical race theory,<ANTI-CRT>
Critical Race Theory debated at Springfield school board meeting,<NEUTRAL>
Critical race theory in schools : Todd Rokita leads opposition effort,<ANTI-CRT>
20 Attorneys General Petition Biden Admin to Backtrack on CRT and  1619 Project - Based Education Proposals,<ANTI-CRT>
Indiana AG Todd Rokita leads multi - state effort to oppose critical race theory in schools,<ANTI-CRT>
20 state AGs tell Education Dept they oppose teaching critical race theory,<NEUTRAL>
"Eric Schmitt writes letter opposing CRT , 1619 Project",<ANTI-CRT>
"Brnovich , GOP AGs object to federal proposal on teaching critical race theory",<ANTI-CRT>
"What is critical race theory , and why are conservatives blocking it ? ",<DEFENDING CRT>
Critical race theory roils Kansas and Missouri politics . Here what it is and is not,<NEUTRAL>
"  You absolute hack : PolitiFact examines why conservatives are trying to block Critical Race Theory , especially since it not that big a deal",<DEFENDING CRT>
11 States Consider Bans on Teaching Critical Race Theory,<NEUTRAL>
Biden civics grants spur Tennessee Republicans to ban critical race theory,<ANTI-CRT>
Conservative PAC falsely claims Missouri marijuana measure advances  critical race theory  ,<DEFENDING CRT>
Conservative PAC falsely claims Missouri marijuana measure advances  critical race theory  | National News,<DEFENDING CRT>
"Republican nominee for Missouri auditor wants to investigate schools ,  Critical Race Theory  ",<NEUTRAL>
GOP sees  huge red wave  potential by targeting critical race theory,<ANTI-CRT>
McDermott : Critical race theory is the GOP latest show about nothing,<DEFENDING CRT>
"Missouri Lawmakers Debate Critical Race Theory , Allowing Parents to Censor Materials",<ANTI-CRT>
Missouri bill would ban critical race theory in schools,<NEUTRAL>
Missouri bills would ban critical race theory and increase parental rights in education,<ANTI-CRT>
"Hearing on bills to ban critical race theory , adopt parent bill of rights draws record response | Politics",<NEUTRAL>
MO lawmakers debate bills banning critical race theory,<NEUTRAL>
Anti - critical race theory activists have a new focus : Curriculum transparency,<NEUTRAL>
Anti - critical race theory activists shift focus to  curriculum transparency  ,<NEUTRAL>
"Letter : McDermott ignores filibuster history , critical race theory",<NEUTRAL>
Judge rules Missouri AG lawsuit against SPS over critical race theory must be resubmitted,<NEUTRAL>
Judge Says Missouri AG Must Resubmit Lawsuit Against SPS Over Critical Race Theory,<NEUTRAL>
GOP state lawmakers file 56 bills to ban critical race theory,<NEUTRAL>
Critical Race Theory Is Dividing Democrats and Rallying Republicans,<NEUTRAL>
Domestic terrorist mum who leading a parental uprising against CRT,<ANTI-CRT>
Rep . Chuck Basye plans to  call out  Columbia Public Schools over claimed teaching of Critical Race Theory | Central Missouri,<ANTI-CRT>
Rep . Chuck Basye plans to  call out  Columbia Public Schools over claimed teaching of Critical Race Theory,<ANTI-CRT>
CPS mask mandate continues while Basye raises Critical Race Theory,<NEUTRAL>
Parents protesting  critical race theory  identify a new target : Mental health programs,<ANTI-CRT>
Missouri AG Schmitt sues Springfield Public Schools over CRT request,<NEUTRAL>
Springfield schools sued over critical race theory request,<NEUTRAL>
Schmitt sues Springfield school district over its response to request for critical race theory records,<NEUTRAL>
Republican AG sues school district over CRT records,<NEUTRAL>
Missouri AG Sues School District Over CRT Records,<NEUTRAL>
Missouri AG sues Springfield for allegedly hiding critical race theory training for teachers,<ANTI-CRT>
Missouri AG Sues Public School District for Refusing to Turn Over Critical Race Training Records,<NEUTRAL>
Missouri AG Sues Springfield for Allegedly Hiding Critical Race Theory Training for Teachers,<ANTI-CRT>
HOUSE MINORITY LEADER MCCARTHY : It Time For A Parent Bill Of Rights To Push Back Against CRT Madness,<ANTI-CRT>
How Critical Race Theory Is Creeping Into More Schools,<ANTI-CRT>
"Letters for November 28 : On CRT , Rittenhouse and money in politics",<NEUTRAL>
Letter : ND CRT law : What about the standards ? ,<NEUTRAL>
"Springfield voters cite CRT , book bans in SPS board election for vote",<NEUTRAL>
"Voters cite critical race theory , book bans , teacher pay in Springfield school board votes",<NEUTRAL>
Missouri teacher accused of teaching critical race theory loses job,<NEUTRAL>
Southwest Missouri high school teacher accused of using critical race theory loses job,<NEUTRAL>
One Missouri legislator favorite buzzword : CRT,<NEUTRAL>
Fired over CRT : Missouri high school teacher accused of teaching  critical race theory  loses job,<NEUTRAL>
Christina Pushaw OWNS toolbags claiming CRT isnt taught in schools with ACTUAL math homework from Missouri public school ( screenshot ) ,<ANTI-CRT>
DeSantis Spox Finally Explains What She Thinks Critical Race Theory Is,<NEUTRAL>
"Ron DeSanti Team Defend Rejecting  CRT Math Textbooks , Share Examples",<DEFENDING CRT>
Florida rejects math textbooks in record numbers over critical race theory,<ANTI-CRT>
DeSantis defends math textbook rejection as Dems seek proof of critical race theory lessons,<NEUTRAL>
  They Wont Tell Us What They Say : Florida Gov . Ron DeSantis Under Pressure to Provide Examples Validating Why More Than 40 Math Books Were Rejected Over Critical Race Theory,<DEFENDING CRT>
DeSantis takes an anti - CRT victory lap without showing his math,<DEFENDING CRT>
Florida governor cant cite single example of  Critical Race Theory  content in banned math books / LGBTQ Nation,<DEFENDING CRT>
DeSanti Office Releases Examples Of Rejected CRT - Inspired Math Textbooks,<NEUTRAL>
"Letters for April 24 : Teacher retention , CRT , and energy conservation",<NEUTRAL>
Critical Race Theory in Colleges : How It Can Help Empower Students of Color,<DEFENDING CRT>
The war on American teachers : The CRT panic is claiming casualties,<DEFENDING CRT>
Critical race theory - related ideas found in mandatory programs at 58 of top 100 US medical schools : report  Medical School education is in crisis  ,<ANTI-CRT>
Faculty at Jesuit university sign letter opposing bills targeting critical race theory,<DEFENDING CRT>
CRT Deconstructed - LewRockwell LewRockwell . com,<ANTI-CRT>
  Fight Like Hell With A Smile On Our Faces : CRT Debate Spurs Parents To Run For School Boards,<ANTI-CRT>
UCLA Law launches project to track attacks on critical race theory,<DEFENDING CRT>
UCLA Creates Database to  Track Attacks on Critical Race Theory  ,<DEFENDING CRT>
UCLA Law launches project to track  attack on critical race theory,<DEFENDING CRT>
UCLA Creates Database To  Track Attacks On Critical Race Theory  ,<DEFENDING CRT>
UCLA creates database to  track attacks on critical race theory  -- Society Child -- Sott . net,<DEFENDING CRT>
Advanced Placement courses could clash with laws that target critical race theory,<NEUTRAL>
Educator warns GOP anti - CRT crusade threatens AP classes as teachers  fired or forced to resign  ,<DEFENDING CRT>
Identity Politics and Critical Race Theory Have No Place in U . S . Military,<ANTI-CRT>
School board group asks for federal help to stop threats and violence in debates on Covid and critical race theory,<NEUTRAL>
Today lesson is [ REDACTED ]. Is the GOP using critical race theory to ban discussion of race in schools ? ,<DEFENDING CRT>
Rep . Bob Good : Teaching CRT Violates Student Civil Rights,<ANTI-CRT>
How to Rein in Critical Race Theory | Manhattan Institute,<ANTI-CRT>
No new teachers in Goodyear sign pledge on Oct . 6 to teach Critical Race Theory,<NEUTRAL>
Number of teachers pledging to teach Critical Race Theory in Flagstaff stagnates at 14,<NEUTRAL>
Kansas legislators press state school board on race theory,<NEUTRAL>
No new teachers in Sun City West sign pledge on Oct . 16 to teach Critical Race Theory,<NEUTRAL>
Is critical race theory unconstitutional ? Lawsuit seeks to prove it . ,<ANTI-CRT>
Teachers and civil rights groups sue over Oklahoma ban on critical race theory,<DEFENDING CRT>
How Republicans Are Weaponizing Critical Race Theory Ahead of Midterms,<DEFENDING CRT>
4 Leander ISD Teachers Pledge To Teach Critical Race Theory,<DEFENDING CRT>
Charlie Kirk visit to Nampa stokes conversation on critical race theory,<NEUTRAL>
Shutting down the manufactured critical race theory  debate  ,<DEFENDING CRT>
Critical Race Theory Outrage Highlights Massive Press Failure,<DEFENDING CRT>
Critical race theory is not a threat to our schools,<DEFENDING CRT>
Teaching History and Literature in America : Why  Critical Race Theory  Is Controversial,<NEUTRAL>
Charlie Kirk visit to Idaho stokes conversation on critical race theory,<NEUTRAL>
Anti - CRT candidates win school board races in metropolitan Texas,<NEUTRAL>
Anti - CRT candidates win school board races in Texas,<NEUTRAL>
"Critical race theory , by any other name , is just as toxic",<ANTI-CRT>
Indiana first  red  state to kill CRT in schools - limiting legislation,<ANTI-CRT>
"Amid  race theory  concerns , House kills budget for Idaho teachers",<ANTI-CRT>
"House defeats public schools budget for teachers , over concerns about  critical race theory  ",<ANTI-CRT>
Idaho House Votes Down Teacher Funding Over Concern About  Critical Race Theory  ,<ANTI-CRT>
Local legislators discuss public education ; critical race theory,<NEUTRAL>
New education policy bill takes aim at  critical race theory  ,<ANTI-CRT>
Education and  critical race theory  take center stage at Statehouse,<NEUTRAL>
Education and  critical race theory  take center stage at Statehouse ; link to my full story,<NEUTRAL>
Idaho House passes bill banning schools from teaching critical race theory,<NEUTRAL>
Idaho House rushes to OK bill against  critical race theory  ahead of education budgets,<ANTI-CRT>
House Republicans Take Aim At Critical Race Theory In Idaho,<ANTI-CRT>
"Idaho Senate clears bill banning teaching of critical race theory in schools , universities , protests follow",<NEUTRAL>
"Idaho moves to ban critical race theory instruction in all public schools , including universities",<NEUTRAL>
Idaho Legislature fast - tracks  critical race theory  bill despite student protests,<NEUTRAL>
Bill Opposing Critical Race Theory Clears Idaho Senate,<NEUTRAL>
Controversial Bill Banning Teaching of Critical Race Theory Passes in Idaho Senate,<NEUTRAL>
Idaho Lawmakers Approve Bill to Ban Critical Race Theory  Indoctrination  ,<ANTI-CRT>
"Idaho Senate Passes Bill , Could Be 1st State Banning Critical Race Theory In Schools",<NEUTRAL>
Idaho Senate Passes Bill to Prevent Teaching Critical Race Theory in Public Schools,<NEUTRAL>
Idaho Senate OKs Bill Banning Critical Race Theory in Public Schools,<NEUTRAL>
Finalists for West Ada superintendent struggle to define  critical race theory  ,<NEUTRAL>
"Parents , lawmakers take steps to ban Biden  dangerou critical race theory in schools",<ANTI-CRT>
Idaho Legislature fast - tracks  critical race theory  bill despite student protests | National News,<NEUTRAL>
Idaho Legislature fast - tracks  critical race theory  bill despite student protests | News,<NEUTRAL>
NC should follow Idaho lead in how to deal with Critical Race Theory,<ANTI-CRT>
Idaho bill prohibits  indoctrinating  with critical race theory,<ANTI-CRT>
Critical race theory and carrots,<NEUTRAL>
Idaho Becomes First State to Ban Discriminatory Critical Race Theory,<ANTI-CRT>
"Idaho Makes History , Becomes the First State to Ban Critical Race Theory – RedState",<ANTI-CRT>
Idaho passes law banning Critical Race Theory  indoctrination  at public schools,<ANTI-CRT>
Critical Race Theory Drives Students Apart . Idaho Lawmakers Had Enough . ,<ANTI-CRT>
Critical Race Theory Drives Students Apart . Idaho Lawmakers Had Enough,<ANTI-CRT>
Idaho Passes Law Banning Critical Race Theory  Indoctrination  at Public Schools,<ANTI-CRT>
What Is Critical Race Theory and Why Do Some People Want to Ban It ? ,<NEUTRAL>
Bryn Mawr Professor Chanelle Wilson Is Fighting for Critical Race Theory in Universities,<DEFENDING CRT>
When being a college law professor feels like living under a  Red Scare  at a time of critical race theory disinformation,<DEFENDING CRT>
Critical Race Theory Seminar : Q & A With Community Organizer Tai Simpson,<NEUTRAL>
Tackling Critical Race Theory : What It Is and Where It Is Being Banned,<NEUTRAL>
Critical race theory debate rages in Kansas legislative committee,<NEUTRAL>
Critical race theory founder says he and his wife receiving death threats,<DEFENDING CRT>
"A critical time : Small handful of educators losing jobs for lessons linked to race , not CRT",<DEFENDING CRT>
"Critical race theory wasnt taught , these US teachers still lost jobs",<DEFENDING CRT>
City Club of Boise - Critical Race Theory,<NEUTRAL>
The War on Critical Race Theory - Boston Review,<DEFENDING CRT>
GOP state lawmakers introduce 12 new bills to ban critical race theory,<NEUTRAL>
"Vaccine mandates , critical race theory among targets of North Dakota lawmakers in upcoming special session",<NEUTRAL>
South Dakota Gov . Kristi Noem Announces Legislation Blocking Critical Race Theory,<NEUTRAL>
"Housing , Politics , CRT : Learning from 2021 editorials",<NEUTRAL>
  It not even happening : Teachers say critical race theory isnt an issue,<DEFENDING CRT>
Critical race theory : What it is and what it isnt,<NEUTRAL>
Critical Race Theory : What It Is And What It Isnt,<NEUTRAL>
The ACLU on Fighting Critical Race Theory Bans :  It About Our Country Reckoning with Racism  ,<DEFENDING CRT>
1619 Project Curriculum Creator Nikole Hannah - Jones Offered Tenure . Bad News Is Race Theory / Free Speech Backlash Expands : ROUNDUP,<ANTI-CRT>
"Teaching critical race theory isnt happening in classrooms , teachers say in survey",<DEFENDING CRT>
"Schools arent forcing Critical Race Theory lessons , K - 12 teachers survey says",<DEFENDING CRT>
What is critical race theory ? Quartz,<NEUTRAL>
The reality of what critical race theory is and isnt,<NEUTRAL>
The right attack on  critical race theory : Another battle in the Orwellian war against democracy,<DEFENDING CRT>
GOP furor over  critical race theory  hits college campuses,<NEUTRAL>
Analysis : How critical race theory turned into a political  bogeyman  | News,<DEFENDING CRT>
"Critical race theory , what it is and isnt",<NEUTRAL>
How critical race theory turned into a political  bogeyman  ,<DEFENDING CRT>
Anti - CRT Laws Seek to Divide Teacher Unions and the Struggle for Black Lives,<DEFENDING CRT>
